query,ids
2050,[21288  1893 16912  3850  6260 17256 10391  2433 19047 13543]
2051,[13208 10152  3764  9118  2029  2358  1655 19046 23059  1006]
2052,[10764 17385  5474 21406 10692 10766  1074 17728  1070  7535]
2053,[ 5938 22430  3862 10620  1897 13862  5051 10597  9706  4157]
2054,[ 5510 18706 20185 11763  4681  1395 13076 12992 20455 22554]
2055,[ 6615 14943  9866  7670  3654  5479  7774  4484  5679 21654]
2056,[16372  2707 14205 16289 16103 13879 16315 12874 18995 16517]
2057,[12253  7120 19351 15695  7070 13311  1509 14155 15697 12945]
2058,[ 3235 18381  6091 16427 14446  9714 12955  7182  1596 16517]
2059,[ 5822 15045 16591 15272  6666  4319 12667 11478  3359 12955]
2060,[ 1994  6094 17865 19308  5590  4615 20016 19038  6749 21932]
2061,[ 3728  2194 10033  3374 15809 14943 13617 15844 11379  8228]
2062,[ 9770  5040 16003 15611 20595 22113 12248  6138 12717 10100]
2063,[11467  3419 20796  4402 17859 11252  4922 23069  3928 11780]
2064,[ 3392  3469  9405  8769 13431 13828 21151 10678  4960 15239]
2065,[12431 20055  6834  7541  7671 14768  7952  8965 21670  9074]
2066,[19133 14023  4149 21952 17152 17227  9324 21404  9734  6745]
2067,[16460 16399 12318 16315  8617 15830  6849 15600  2707  4158]
2068,[12792 17291 16558  1935 16912 16639 15616 17931  8138  6210]
2069,[  843  6117 22189 22351  2881 10409 22460  6526  1960 22452]
2070,[20541 20762 19198  8599 18470   888 16547 16554 18627  2346]
2071,[ 2476  2701 10217 17234 20541 14065 10289  1051  2716  4689]
2072,[11402 11558 17928 21394 21304  2736 20541  6359  3695 11479]
2073,[16295 14428 15632  3029  8401 13017 16402 20964 16546 20108]
2074,[15830 20756 12231  9469 16139 16247 10489  6849 13572  8351]
2075,[16110 18602  4166  8218 22614  9469  4032 20396 14033  3270]
2076,[20606  5661  7022  5729 10520 22026 19349 18444 21111  8459]
2077,[10301 12794  7628 21868   840 12550  4373 14828  8362 17013]
2078,[ 5178 14943  6459 22156 22706 20237  3978 22276 12468 10623]
2079,[19198 20698 11479  1051 20541  5412 20762 18470  2701 17234]
2080,[21865 20059 11795 20478 11195 10237 19022  1335  2769  6781]
2081,[19867  3838 13879 16130  8351 16757  8649  4892 16506  8343]
2082,[20787 19727 13024 18756 15980  2563  1315  4778 16407 18232]
2083,[12697 19324 12674 10870 18546 21803  5874 16591  7885 10118]
2084,[12529  8641 10664  9674 13800 21190 17246  4055  9110 15044]
2085,[ 8822 16347 16295  8401  5052 17220 13955 11425 19667  7207]
2086,[ 8605 16207  9695  7525 16233 11508 22049 13879 15823 14428]
2087,[ 4904 15616 20970 10071 16241  4870 18210  5622 16639 16347]
2088,[15517  9257 11149 15047 19916  7305  5715 19919 12607  8640]
2089,[ 8481 22093 15272 12697  4797 21981 16591  6231 10870  5938]
2090,[10839   846 22946 10834 18439 10791 14086  4775 11988  6834]
2091,[ 3014  7594  7995  6532 10931 15004 21970 18631 16806  7946]
2092,[11170 22430 23080 15856 10646 15238 21907 16529 10689  9262]
2093,[12994 10808 15606  4675 18364 10993 16883 20713  2011 10263]
2094,[ 5776 16824  4177 14090 15827 11001 20898 17965 16227  7033]
2095,[ 8343 15942 12684 16241 12797 17880  2729 16437 13722 14790]
2096,[19852  6445 14155 19891 19623   983 14035 21149 17459 21272]
2097,[12535  4332 16442 11463 15630 10477 15950 16455 14468 15919]
2098,[18582  7291  8989 14712 19972 13881 23033 15575 17443 22194]
2099,[16217  1485  8090 14318 13217  1392  7781 19160  6434 10229]
2100,[ 4669  9469 20223  8816  1334  8218 20498 15695 16139  8197]
2101,[ 3411  5645  7239 12688  3733  5247 20311 12542 19581 19556]
2102,[ 9080 21793 12955 10937 16341 12878  7182 10118 12881 15272]
2103,[15600 16399  9469  6849 16247 16581 20756 10354 16807 18313]
2104,[16518  5874  6261 16440 13039 22049 18196 16393 16103 10870]
2105,[ 3360 21189   914  8521  5642 10085 14279  6285 15575 16224]
2106,[10504  7991  8608 11856 15516  8131 17922 12938 23000 19513]
2107,[13116 17375  2684 17750 12161 18729 15328 18577  9325 20414]
2108,[16757  7514 11532 18398  5622 16241 16506 18214 16912  8584]
2109,[12334 16460 12490 12231 11313 19811 20664 11379 15870 10193]
2110,[14065 18470 20541  8599 17714 10923 10494  1036 17928 20698]
2111,[ 9752  8993 13957  3217 10432 13082   846 10977 15904 13937]
2112,[ 2881 12272 17257 12511 14067 16495  7837  1638  6452 21966]
2113,[16045  9713 16313 11194  1064  7333 12754  9574 20810  6586]
2114,[ 1814  5052  3359 15596 22026  8662 10313  2824 10905 17294]
2115,[ 2722  7477  1617 22292 22621 19989 19990  1760 10293 22722]
2116,[16207 22482 14428 17103 23010  4878 15245 22452  2662 16333]
2117,[15496 22989 20994 21790 13092 16873  9897 11439  6058  8237]
2118,[ 8258 13678 16028  9948  9002 15889  8693  5036  4041 12754]
2119,[22156  4157  7602 16125 14943 16616  5252  4717 16855 12468]
2120,[13120  4892 14790  3851 16241 23014  3029 15942 16757 12501]
2121,[  846  2917 16553 16462  5992 11988 10432 10033 16125 10945]
2122,[16291 20790 15272  2940  6261  9080  2207  7182 14257  5874]
2123,[19295  9647  3845 20171  7201  2745 20202  6972 22719  2080]
2124,[ 6359 10217  3244 12029  3123  2716 13985 20541  2736 16188]
2125,[11252 20741  8729  7165 17307 11229  5036 13433  4402  4922]
2126,[ 4477 13869 10245  2116 20709 14240 19031  6250 21211 18710]
2127,[23134  3358 20666  9804 20124 15072 11724 10372  1201 15238]
2128,[22211 18115 11501  1013  2714 17714  2716  5882 20546 14676]
2129,[13406 13523  8731 14086  4568  9904 21560 13408 18476 17630]
2130,[18475 10496 12583 14591  2348  1729 14441 13749 10104 20747]
2131,[13955 11100 19667 16295 20108 16333  3029 16347 23010  1683]
2132,[ 9032 13034  2594  9555 15188 19374  9840  2186 20426  5361]
2133,[10391  8343  3851 16241 10776  1893 16506 17880 13007  7554]
2134,[ 8258  5036  4864 17922   307 20665 22113 11157 16003  7531]
2135,[10438 16123  1440  1545 18695 21052  1695 16930 13968  1567]
2136,[ 8751 16190  2955 20881  1851  1586 17038  2961  6948 10101]
2137,[13458  7242 15253 13828 20840  5783  9165 12468  8769  3712]
2138,[ 4001 16966 13115  9309 13160  7196   764  1389 16313  1698]
2139,[ 4166  8341 15600 16399 16315  5048 12645  6849 16247 20237]
2140,[19544 21690 16994 15112  7327 22742  7176 20963 10303 12366]
2141,[10133  7928 16135 12991  9799 13793 20701 14063 18720 22036]
2142,[22479 20237 15379  6315  9684 12302 21803  5810  7885 19447]
2143,[20970 17220  5736 16757  9469 18060  8197  7400  8351 16724]
2144,[ 1394 18233 18158  6591 19711 17034 14849 20568  6255  7025]
2145,[17398  6644 20665 19002  7406 12679  2677  8258 13746 18901]
2146,[ 8222 18210 13700 21069  1754  1941 18398 19316  5622  7179]
2147,[ 3947  2942 10781 11741 10573 22918 19028 10775  4727 10802]
2148,[ 2381 20597  1729  2671  6140  9514 16239  1587 10207  2064]
2149,[12716 20493 19919  2598  9829 18852 22818  7991 12332  8612]
2150,[  344  2762 19303  6745  7447 19293 16686  8905 20088 18970]
2151,[ 3947 22800 20257 10993 14194 10623 13082 10783 11619  4860]
2152,[18115  5882 22211 11643 10147  3705 14680  9483 17410 22284]
2153,[21265 19524 15661 15898   698   842 12650 18339  3722 21828]
2154,[18602 15379  2025 19064  8992  4800 13810 16044 15531  7973]
2155,[ 4567 20089  9248  3363 19597 12343  4052  9831  6443 18884]
2156,[ 8197 10965 10071  7928  7514 16724 22588 16449 14231  6941]
2157,[ 5367  5902  6367 18203 21723 12656 10106 13398  8540  2862]
2158,[20952  9479  2393 22310 15029 13070   620  5600  6111 18457]
2159,[ 8960  8131  2740 15962 13919 21999  2987 14207 17405  6337]
2160,[  898  2494 10018  1394 22039  4100 15889  1409 22094 11353]
2161,[ 7713  6181 14996 12917 21888 10574 21561 21995 15495 14406]
2162,[16089 10426 15268 11427  8145  6728  4249  1013 16188  7781]
2163,[11643  5551  5412 19244  9334  5489  7586  9515  5488  3383]
2164,[ 1659 16720 11023  5471 15442  5566  1661  6440 11536  1043]
2165,[16193 17317  7550  8833 16564  7400 13563 15342 10388 20203]
2166,[ 2709  2314 10896  1331 13859 19831 21211 18576 12729  1857]
2167,[ 8584 13800  8117 15769 10664 13098 16493 16534  8496  4609]
2168,[ 2692  6230  1560 11086 20651 15704 15477 10304 20290 17869]
2169,[16912 12792 19047 23093 16558 12480  1935 17931  2314  7188]
2170,[12848 20258 18433 11705 16278  9603 10461  3832  8617  1293]
2171,[ 7525 14205 16372 18313 15823 12874  6091 16233  9209 13156]
2172,[ 5736  7400  6715 10120 11740  7550 16820 16208  1509 16347]
2173,[14764  1966  1592  1773 19369  1175 16061  1608  1937 20102]
2174,[ 7183 16521  4729  7079  5645  3947  5884 11530 20257 18894]
2175,[ 6117 14428 20108 22452 16053  8401 13253 11425  8822 21443]
2176,[ 7426 10139 11513 20789 15830 19811 16075 12318 16315 14179]
2177,[17957   983 22618 22319  1400 10365 13681 21489  9389 11123]
2178,[ 2137  1373 22304 16126 22648 22709 20883 15188 21238  6011]
2179,[16791  2346  2151  2943  3244 10289 13859 11516   624  2709]
2180,[16196 10653  3332 11229 16480  5829  5813 17945 17249  5808]
2181,[17897 13706  3851  3850  1893 17519 12250 19451  9067  8713]
2182,[15739  6422  9766  3353  8632  2680 10376 12472   868  1550]
2183,[16291 13550 16317 15943 16341  6091  7525 20790  6456 14205]
2184,[ 9325 16766 20344  7768 11169 11426 19602 16685 18115 10690]
2185,[10104 19383  7985 13968  1941  2905 18576 18398 16789 15362]
2186,[15051  8026  7564 12063  4633 22325  5559 11563 11503  7241]
2187,[14205  2707 16289 19740  8351 18060  4158 18995  9751 16315]
2188,[22700 20881 21040 10301  7628 22722 11536 12898 12159   840]
2189,[ 8659 14943 10612 10125  1640 13945 19956  9937 20603 13577]
2190,[10272  2237  3729 15944 18932 21907  8826  7439  6433 16852]
2191,[18733  2313   890  3192 19548  2019 11723 16425 22551  8927]
2192,[ 2508 19012  6775 19036  3631 10353  7070  4940 18008 14575]
2193,[22764  3198  1941 15616 18738  8197 16724 18398  8927  4904]
2194,[ 4648  3789  1927  2680  3013  1392 21938 10923  1305  1575]
2195,[14018  2151  4569 18470  2346  8599 18627 20541  1507 17466]
2196,[21069  8222 13700 18210  1941  2905  7247 13585 21952 15937]
2197,[16193 20203 10119 20964  8833 17220  5736 22753  7400 13371]
2198,[ 7426 12318 19811 11513 20789 14179 12490 10139 16315 16460]
2199,[16273 20062 20319  1203  8531 19763 11523 18758  5142  6546]
2200,[22083 22841 10654  6520 22654  9742 19192 17284 18051 12546]
2201,[ 8343  2729  4870  6210  7180  4424 16130 20215 16021 16371]
2202,[16544 12945   662  8833 21630  7550  4059  3212 16206  6208]
2203,[11490 10890 10164  7939 11004 12529 10933 22625  8641  5665]
2204,[14928  2621 15937 20860 16092 10358  2583 21952 17254 14292]
2205,[21211  3435 11476  7622 16168 13948 13684 10623   615  9814]
2206,[16855 10479 22217 15451 18327  5826  8933 11052  1030  6566]
2207,[14552 20549  5794  9297 15459 18889  4933  3607  5602 18896]
2208,[18947  3262 19705  3095  6972  6069  6314  9647 12159 20171]
2209,[15081 11513 14769 12286 11988 13458  6615 22530 14179  3654]
2210,[ 9087 13311 11314 13151  6925  8688 12709 13298 12479 22722]
2211,[17768 14147 15490  3673  3636  2448  5590 21299 19308 17865]
2212,[ 2400  7198  5946  8892  5719 10264 18069  6280 20302  8972]
2213,[ 2824 22667  8822 16802 13039 15596  9695  5808  4649  1814]
2214,[ 5729 19809  6526  7837 17122  3965  1132  1638  2881  2824]
2215,[15524 18322 11022  7756 19740 22831  1316  1949  8459  2552]
2216,[ 8822  8987 20108 16053  8401 16347 16207 11425 17220 19667]
2217,[19228 15395 22412 10263 21840 21331  7710  6684  5864  8824]
2218,[19548  3192  4445  4059 10388 19739   890  7740  2695 12234]
2219,[11741  5644 10781 13451  4349 22918 10796 19028 10839 10775]
2220,[22196 18760  6655 18040  7966  2329 13459  4216  6689  3198]
2221,[ 8459 13017 13955 12789 19349 20964 13371  1608  7756 16564]
2222,[14851  5928  9146  2140  2573  1652   864 17914  8218  8791]
2223,[ 5992 13458 20999 13828 12468  7242 14869 20840  5247 10033]
2224,[16912 10478 20925 12250  4582  2433 17897 17860 17190 19831]
2225,[13039 22049  8822 16103  5874  7068  6261  5655 18196 16518]
2226,[13577   825  6326 10727  4149 12851  8880 17341 14575 10739]
2227,[16705  5736 15923 20970  8197  9469  4537 19958 10120 21683]
2228,[21581  1639 11469 20427 11360  2607 15845 15823 19351 19369]
2229,[ 1935 13955 13722  4036 17931  4870 16347 16639 19941  6210]
2230,[ 3012 10500 12991  1166  7756  1754 10770  8459 13464 20835]
2231,[16153  1847  2577   841  1986  1791  1556 20428  7021 11524]
2232,[ 2999 16238 11425 19667 22452  7180  7179 16069  8138 19500]
2233,[13154  8351  3838 16506  9209 20756 16130 16321 19867 22576]
2234,[ 3469  8769  7241  1495 19279  5336 19299 15239 13431  8070]
2235,[16308  6445  3437 20051 12015 12650  3916 12472 15608 20258]
2236,[14065 18470 11479  8599  1051 20541  5412 17714  2701 20698]
2237,[ 4654  6943  9719  6458 21979 10971 13463  7699  9574 17422]
2238,[10653 16559  5808 16480  8584  7611  6259  3332 15767  1449]
2239,[19977 16168 13082 20143  4512 11476  9935 21211 11734 19679]
2240,[ 9633 21173  9256  7801 21008  7677 10931 11924  7995  7522]
2241,[ 2345  6292  4204 17198  8527 16818 22210  2678 12692 12794]
2242,[18995  4158 15830  2707 16553 13015 20756 13039 16705  1975]
2243,[21770 12468  9904   846  5992 14285 10278 10945  4675 19641]
2244,[ 1872 20950 23041  9505 22626 12272 21363 14293 21836 23151]
2245,[ 3858 18705 18463 19659  3814 13791 19631  8637 17078  6576]
2246,[ 9752  6849  2942 14064 22276 16315 13082 14943  4166 20789]
2247,[11476  4157 21211  3435 15601  6982 19027 16883 14330 10945]
2248,[ 4892 16757 20108 16241 15942  4870  7514 16371  5736 16347]
2249,[19019 17351  3837  5412 10494 10217 17466  8791 20698 10787]
2250,[ 1864 16554  8599 14851 18470  6830 12718  9907 16168 19198]
2251,[ 3999 15059 10229  6911 18013  4399   674 13217  2573  1908]
2252,[15102 19383  3058 16506  4399  9820  6824 17291 10855  6941]
2253,[15342 19548 19739 16551  4059 14063 22756  3192 16206  2313]
2254,[ 1300  1924  2510 13798 19518 15435 21916  6134  2680  1374]
2255,[13316 21073  3865  8964 14201  4349 19027 15656 14051 17615]
2256,[ 5020  6309 17273  1009 17362  5470 15673  7822 14764 13169]
2257,[12101  4969   925 19845 17302 18567 11528 15746  7514 16253]
2258,[19765 20485 15193 16457  8649 16383  2662  1201  1018 13955]
2259,[19953 21803 12566 14875  7247  9751 13104 19447 15852 22790]
2260,[ 5916  1023  1171 21178  1441  5047  8578  2606 20219 20601]
2261,[21592 18603 10285 16899 20757  8138 11528  2167  8953 14526]
2262,[ 2729  7627 16371 12341 20970 20076 13879 18995  2707 21683]
2263,[15767 14312 12740 16852 21218 13030  2726 14466 20816 10236]
2264,[ 1635 20627 12572  6364   586  8466  6988 15053   899  7706]
2265,[ 2853  1615 13749 11314 16312 13891 14591 10843  1617 16876]
2266,[ 4396 11788 13045  4191 14315  2162   573   798 20369 17104]
2267,[19545 15064 20669 17887  1526  2078 11302  7034  4359 13730]
2268,[ 4031 22422 20197  6671 16459 22946 11092  3801  6611  2129]
2269,[ 9476  3742 12778 17004  8743 18566  9994 16794 10301  2678]
2270,[ 4149  5331 17051 19180 15073 17772 12157 18190 10070 19128]
2271,[19962 17843 16908 19198   615 12218 20609  2346   888 16552]
2272,[ 4445 20142  8927 19242 12789 19548  4601  2695  6208  7550]
2273,[12879 10937 10139 18381 16315 16807 15870 16074  8341 21793]
2274,[22773  6136  2947  6099 12339  5047 18387   789  4111 22305]
2275,[ 1897 15034 14801 20206 21073 20340  9706 22217 23037  5938]
2276,[17220 16207 21453 18060  7179 16333 15923 16238 11425 22452]
2277,[ 4669 14967 15739 21037 15388  8632  8816  6704  1334  9325]
2278,[16717 20821  9896 13887  8386  5399 15573 17636  8209  4243]
2279,[18603 16912 16223 16899  1935 12792 13120 23093 16639  4582]
2280,[ 3728  3374 15904  4157 10623 13577 22996 11267 13684 14943]
2281,[15193  1201 19765 13955  7535 11263  1608 14790  8662 20522]
2282,[19962  2236  7622  9814 19198 16328 17843  4689  2346 21211]
2283,[ 9469  1254  4649 20396  6715  8351  7627 20970  2536  5736]
2284,[ 5942  4391 18597 19027  9020  9074  4821 21732 13834  3743]
2285,[19027 22093  4349 20208  3865 18597  4171 22355 18463 10574]
2286,[ 5309  8733  6806 21780  4745 10894  8271  4349 17560 20206]
2287,[ 7550  4051   890  8927  4445 19548 20701  7400 14063 15342]
2288,[18603  4550 21592 10285 20757  4967   649 16253 11225  3116]
2289,[16660 10715 21359 16650  3674  9342 21358  5666 21927 13431]
2290,[ 7928  8197  7400  7550 17220 17317  4051  5736 16757  7514]
2291,[13647  1758  9683 11282 13562  2812  4188   628   910  9963]
2292,[17051 10353  2335 17792   825 19180  5331 16217 19004 14098]
2293,[10343  2245  1854  4858 10690 17748 12946 12149 20193 12120]
2294,[ 4563 12061 12987 22284  2185  2346  3244 13686 17068 14676]
2295,[ 7755 20193 17514  2736  9349 11169 12737 18115 15663 12178]
2296,[12974 22538 10404  5469 10740 10026  9762 15872 15664 19150]
2297,[ 4569  2346  8827 18627 13394 16791 18367  2151  7721 14004]
2298,[ 1373 20757 21592 18603 13031 10224 20950 16899 15188  2137]
2299,[ 7180 11425 16069  9447 11167 18625 18210 16207 16506 17220]
2300,[ 7247 21803  7950 19064 10739 18902 19447 13104  2236 15739]
2301,[17351  3837 20751 19693  5412 20143 20609 19244  9433 16552]
2302,[19535  1017  2007 20324 13621  3065  2786 19295  3067  8771]
2303,[  846  9752  4078 10945 15904 11507 13957 13082  8795  5945]
2304,[ 4669  8816 11643  7586  9334  5551  8900  3462 12499  2257]
2305,[ 8437  8527 11391 20733 20837  7628 11491  2400  9602  3931]
2306,[ 5196 23062  1349  5453 14976 21339 11721 17816  7821 12600]
2307,[ 9087 13151 11314 20881 13311 22722  8688 23041 21748 20950]
2308,[ 8967  9070  8525 18020  8965  5311  8966 12654  6684  7331]
2309,[10078 10272 11763 18109 16378  9105  4401 10810  8551  6469]
2310,[15782 15777  6601  4335 19828 14368 11638 19937  9156  6260]
2311,[ 3705 17410   900  1036 10494  6288 14408  2717  2716 12507]
2312,[12480  1017 16223 19535 13621 16769 22719 19295 20171  2007]
2313,[ 3419  7819 16716 10301  3846 18088  8362   307 13088 13625]
2314,[ 4922 22519 11252 20741 10618 23069 13616  6336 21064  7561]
2315,[20640  9604  1872 12272 15047  6641  9505 16458 23041  7991]
2316,[ 1305  2233 13986  7768  2680  1734 16188  4200  5132  9388]
2317,[15033 15492 21365 15275 16590 15990  8589  8849  3088 15514]
2318,[16449 17256  2919 13120 19941 11715  3212 14526 16295 22719]
2319,[14298 15915 16554 17962 20698  1864  7069 19198  5981  1051]
2320,[20333 17362 13531  1274  1580 10998 12469 10500  9377  1926]
2321,[19241 11863 17820  1600  7124  2551  3087 21581  4695  3203]
2322,[15893 11656 16552 19620  1506 15910 20050 17914 19693 19019]
2323,[ 2308  1078 18666 12900  2065  5705  2086  1802  3874 18982]
2324,[ 8138 17931 19667 12792 17291 20108  2339  1436  1247  2999]
2325,[10690  5470  1069  6672 10699  1285 12130  2245  4959  6309]
2326,[ 7242 20286 15253 18145  8769  4960  9165 13458 12697 13828]
2327,[ 2529 15746  4836  3121 23014   925  7514 12101  4969 20757]
2328,[ 1943  5252 17791 15281 22800 14943 22115 22117 13526 13684]
2329,[22113 18543 11552 20321  6421  4664  8100 19250  9550 14465]
2330,[12061  3682  3609 19308 17068 14676 19134  2346 12987 19185]
2331,[11532  3850 17897 16912 18603 17256   930 12250   595  7767]
2332,[ 4059  3192 19548 19765  4445 19739  6208  1608  2695  1968]
2333,[22370  1890 12566 10151   309  2275 10252 18182  9119 11547]
2334,[19250  3040  6001 17869  6440 14034 13593 20932 16043 16720]
2335,[11425 22452 16333 17220 16207 20108  8401 19667 13955 16757]
2336,[15032 16855 14997 18190  9814  6459 13577  3728 12919 13684]
2337,[ 7896 16083  4431  5814   742 11753 11971  6666 22787  4944]
2338,[19349 16207  4878 13955 13371 22452 22667  8401 20993  2662]
2339,[ 9209  8351 16581 14205 10510 10119 12874 13017 12590 20149]
2340,[19098 22211 18115 12218 17783  7755  9348 21304 12178 21394]
2341,[ 1734  7781  4648  1305 17045  1575  2233  3789  1423 16188]
2342,[ 8599  2236 18470 16168 19198  9814  6225 13810 17843 19532]
2343,[13466  5738  9263  8179  4664 11964 14465 19117 11966  6056]
2344,[16386 15281 16767 10393 22609 13865  9723 13879 15942  4477]
2345,[ 2729 16440 13039 16021 16103  8343 13879 16518  8649  6771]
2346,[19204 19189   599  4487 22829 12734 18819  2237  7274  6134]
2347,[13981  4524 16253  4550 11244  7243  1967  9120  1859 12304]
2348,[13298 17813 14155  5769 19081 12295 12611 10622 11314 12544]
2349,[14105  4526 16486 23145 23053  9279  9067 10687 12108 22111]
2350,[ 3435 16161 11982  5690  2236 19962 13877 14240  3438 13948]
2351,[19080 11363  2936 16686 20356 19672 17772 14597  3083 19293]
2352,[16616 13039  5655  4717  7068 20603 15531  7602 11158 16518]
2353,[ 6948  4196 17086  9647  8729  2745  6336 16243 19991 17231]
2354,[14875 18430 19447  7247 15227  8591 23040 13104  5919  4213]
2355,[ 8730 16312 13749 10293  7837 14591  5439 14293 15316  8490]
2356,[20143 16552 19693 11734 19620 18040 20192  1691  7732 20609]
2357,[ 6834 15285 21670  6216  9074  6734 12431  4349 21073 15495]
2358,[15395 10263 12994  7441 22412 21714 21813  6684 10747 19228]
2359,[16333 14428  8668 22452 11425 16371 16207 16069  8401 21443]
2360,[17820 19080 10699  2245 12130  1854 16792  9480  5470 10343]
2361,[20202 12501 16930 16425 17291  8927  1247 18576 10071  4051]
2362,[11102  7888 14790  3851 17860 17083 11345  2314   579 17880]
2363,[ 5769 15695 12253   662  4132  1509 10468 17813 13532  9055]
2364,[14323 10668  8343  6771 10830 16447  2729  4892  8649  3859]
2365,[11100 16347 13120  1694 16769 16449 19667  4132  5736  8485]
2366,[13957  7426 10139  9752 14179 15830 20789 11513 21765 16075]
2367,[ 6440 12180 10126  7663 16043 16681 23162  1043  5475 14646]
2368,[22211  5882  9349  3705  1110  2736 14676 22284 18115 16644]
2369,[ 2563 18756  3933 18356  1701 19727 13372 13024  3751 12620]
2370,[ 4776 23003  4721 10741  5826  1030  5194  2210 22217 14406]
2371,[13425 12151 15718  5833  8044  8219  8494  5566 22551 17350]
2372,[ 5736  9469  7400 16544 17220 20396 16820 16757 20970 16193]
2373,[20152  1967 20185  1969  3859  1859 11006 17653  1442 16500]
2374,[  307 10301 13088 18246 16716 14070  3846 11536 21181  2877]
2375,[  711 15825  9209 11387 14889 17130  8539  1395 20102 14975]
2376,[16791 18367  2943   597   624  2331  2151  2417   599 17832]
2377,[22211  1110  9483  1013  5412  3705  2326  5882 19244 10147]
2378,[ 6210 12501 16347 20970 16241 11100 16769 16757  5736   662]
2379,[ 6280  7849 20627 14052  3107 17995  2362 13605 12716 13137]
2380,[14875 21803  5048 18430 15392 13104  5689 19956  1167 19447]
2381,[10393 14257 18313 15600 13879 13039 15798  1594  8341 11387]
2382,[17968 16815  2641  7689 10997 15019  6184 21609 17418  2487]
2383,[13554 18987  5329  9656  6670 10893 21640 16275  9363 16826]
2384,[ 9498  8997 20824 19147  6867 21704 18657  6212  8501   642]
2385,[ 4313 16307  2881  6991 10529  6526 16802  3965  5729 19162]
2386,[16449 16347  5736 19667 20970 16757  8197 13017 13955 17220]
2387,[10739 19525 12157 18695 10701 15073  4213  6672  7822 13951]
2388,[ 7291 15575  6111  7978  9735 22944 13881 10243  6656  1260]
2389,[ 3728  3374 18040  5178 16154  9967 20653 15904  4800  1136]
2390,[11245  5415  5993 12984  4211  9908 15417 12694 15176  6095]
2391,[ 3727 12188 21009  3453  5415 17199 10674 10673  6023  5391]
2392,[ 7388  1198  9640 16568 18571 11788  1980 18004 14315  3134]
2393,[14680 16691 14283 10747  5590  7074  3609  2011 10704 10767]
2394,[10911  7903 15078 17262 19951  3347 12417 20056  7827  7722]
2395,[ 8927 22588  8197 18733  4601  9321 11358  4445  9799  9133]
2396,[ 5493  5451 11809  4563  2185 17068 14676 13686 17401  5597]
2397,[ 5493 22211 16691  5567 14680  5496  7407  5480  3682 19098]
2398,[ 4419 17206 13073 17764 18457 10243   624  9001 14912 10713]
2399,[16188  2736 11169 20344 13116  4249  7768 22575  2716 19244]
2400,[ 3262  7439 16095  9383  5797 21930 10003 15435 22478 15189]
2401,[20546 16687  4518 15663  8053  9400  2736  9369  1082   704]
2402,[15904 10977 13082  9752   846 10623 16552  5178 11507 13957]
2403,[ 6925 13621 13151  9087 11283 20881 11314 22472 12159 11236]
2404,[10960 15107 14836  7903   709 19106  2061 17806  9340  5478]
2405,[17051 20145 22545 16076 15845 11456 21384 12571  7407   825]
2406,[20361  6117  3965  4313 12327 22667 11463 12535  2824  8547]
2407,[ 4717  5655 13810 15531  6725  9469 16139  9751 16616  4166]
2408,[ 1274  5050   308 12028  4519  1009  6309 10699  1254 22028]
2409,[ 4071  6326 17341  8880 10739  3198  6537 13577 16123 12484]
2410,[ 6343 21813 20340  9992  4246  2957  9362  9706 22538 22496]
2411,[15746  4445 19739 19548  7635  4059  5907  4969 20142 20149]
2412,[ 7655  2236 14997 19962  6947 15388  7622 17727  2856 16855]
2413,[ 2736 22211 18115  2716  2714  9325 12178  6359  8632 11169]
2414,[ 9433 19244 17351  5412  3837 10289 16936  2716 17334 10217]
2415,[22591 17722 10881 18888  7165 16132 17210 13433 17730 17043]
2416,[ 9509 21473   922  9739 22818 12988  8560  6784 15696  5738]
2417,[ 5736  3029  4051 16193 16347 16295 12501  7550 20203 12945]
2418,[ 4132  3451  7118 19349 13968  2684 10083 11363 21174 17772]
2419,[ 4745  9429  4349 20841  5829 10574 17560 22093 22758 18943]
2420,[ 1691  1506  9935 18470 19198  1507 20609  4689  5412  8816]
2421,[15053 22781  2720  4054  1923  2161 13172  6280 18090  8007]
2422,[12995 17396 11624  9070 18597 19027  9020 14768  8651 17249]
2423,[ 6922 12858 17031 16938  9677 11725 12284  9827 10073 14227]
2424,[22719 16223 16769 12480 11715  2919 13120 15839  3772 17931]
2425,[18145 12917 21981 21734  6734 20286 15670 22071 20999 15627]
2426,[ 7633  7232 22482 13749 14591  6440  1546  1529  3986 14291]
2427,[16110 16285 11740  5736  6715  9469  9751 18602 21683 20970]
2428,[13867  3010 20215  3332 20076 16506 16553 14328 20192  7462]
2429,[ 6371 17902  6426  8207 20613 18645  2398 14731  7681  2934]
2430,[10847 14245 16550  5679  5247  8038 11447 17424 14535 21927]
2431,[ 4947  5215  9804  8407 22781  1201  4967   991 11259 18728]
2432,[20715 16308  2116 20258  1965 16208 16767 12874  8397  4905]
2433,[22094 18473 15254  6823  4153 12584 11371  2754  2494  1933]
2434,[11008 21402  8659 22211  5480 12851 22117 11772  7407  3429]
2435,[16616 20677 20788  3978 11551  6689 20789  5178 20603 13810]
2436,[10289 21489  3244 11123 13686  4689 15721 17234 22284 13727]
2437,[22946 10573 11507   846  6611  8795  6671  8828 10425 11988]
2438,[20995  1446   954  1566  3225 19030 16453  4896  5232   340]
2439,[ 3082  1285  9621 14090 12234  4959  4695  5706  9480 16792]
2440,[11488 16775  4836  4768 14741 14734  4093 23014 22052  8000]
2441,[ 5003  7768 20344  2684  1332 13986  1305  3800  8816  2733]
